name,calories,total_fat,saturated_fat,polyunsaturated_fatty_acids,protein,carbohydrate,sugars,lactose,fiber,calcium,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_a,vitamin_b12,vitamin_b6
"Fast foods, with cone",163.0,4.9,2.5,0.297,4.24,26.36,19.49,5.59,0.1,129.0,0.0,0.03,0.5,0.9,97.0,0.58,0.054
"Fast foods, with corn flour coating (corndog)",263.0,11.0,2.9,1.998,9.6,31.88,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,118.0,0.25,0.05
"Fast foods, with crispy chicken fillet",300.0,15.0,5.7,3.308,11.93,30.56,2.62,0.66,1.4,44.0,4.0,1.82,6.3,0.7,35.0,0.12,0.207
"Fast foods, with egg",274.0,16.0,3.5,4.706,8.53,23.46,0.0,0.0,0.6,60.0,0.0,0.0,0.0,0.1,456.0,0.46,0.082
"Fast foods, with egg and bacon",305.0,21.0,5.3,4.98,11.33,19.06,2.19,0.0,0.5,126.0,25.0,1.34,4.3,1.8,233.0,0.69,0.09
"Fast foods, with egg and cheese",304.0,19.0,11.0,1.076,10.07,22.45,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.1,788.0,0.61,0.08
"Fast foods, with egg and ham",233.0,14.0,3.1,4.01,10.64,16.37,2.2,0.0,0.4,115.0,25.0,1.1,3.6,0.0,223.0,0.62,0.14
"Fast foods, with ham",342.0,16.0,10.0,0.918,11.85,38.75,1.97,0.0,0.7,142.0,13.0,1.23,5.7,0.1,118.0,0.03,0.12
"Fast foods, with sausage",371.0,24.0,7.4,3.107,9.67,29.99,1.59,0.66,0.4,47.0,14.0,0.84,5.5,0.0,13.0,0.6,0.063
"Fast foods, with tartar sauce",257.0,12.0,1.9,6.257,10.29,26.69,3.53,0.0,1.0,37.0,9.0,0.55,13.6,1.8,87.0,0.68,0.07
"Fast foods, with tartar sauce and cheese",279.0,15.0,2.8,5.952,11.26,26.39,3.67,0.2,0.8,120.0,37.0,1.0,7.9,1.5,101.0,0.59,0.06
"Fat free ice cream, flavors other than chocolate",129.0,0.0,0.0,0.0,4.41,27.94,8.82,0.0,7.4,147.0,0.0,0.0,0.0,0.0,461.0,0.52,0.029
"Fat, beef tallow",902.0,100.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.7,0.0,0.0,0.0,0.0,0.0
"Fat, chicken",900.0,100.0,30.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,191.0,2.7,0.0,0.0,0.0,0.0,0.0
"Fat, duck",882.0,100.0,33.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,191.0,2.7,0.0,0.0,0.0,0.0,0.0
"Fat, goose",900.0,100.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0
"Fat, mutton tallow",902.0,100.0,47.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.8,0.0,0.0,0.0,0.0,0.0
"Fat, turkey",900.0,100.0,29.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,191.0,2.9,0.0,0.0,0.0,0.0,0.0
"Feijoa, raw",61.0,0.4,0.1,0.136,0.71,15.21,8.2,0.0,6.4,17.0,0.0,0.16,3.5,32.9,6.0,0.0,0.067
"Fennel, raw",31.0,0.2,0.1,0.169,1.24,7.3,3.93,0.0,3.1,49.0,0.0,0.58,62.8,12.0,963.0,0.0,0.047
"Fiddlehead ferns, raw",34.0,0.4,0.0,0.0,4.55,5.54,0.0,0.0,0.0,32.0,0.0,0.0,0.0,26.6,3617.0,0.0,0.0
"Fiddlehead ferns, unprepared",34.0,0.4,0.0,0.0,4.31,5.74,0.0,0.0,0.0,24.0,0.0,0.0,0.0,17.8,3350.0,0.0,0.0
"Figs, raw",74.0,0.3,0.1,0.144,0.75,19.18,16.26,0.0,2.9,35.0,0.0,0.11,4.7,2.0,142.0,0.0,0.113
"Figs, solids and liquids",79.25,0.1,0.0,0.04775,0.3875,20.675,12.16,0.0,1.55,27.0,0.0,0.075,3.2,1.0,37.0,0.0,0.052500000000000005
"Figs, stewed",107.0,0.4,0.1,0.149,1.42,27.57,23.35,0.0,4.2,70.0,0.0,0.15,6.7,4.4,4.0,0.0,0.133
"Figs, uncooked",249.0,0.9,0.1,0.345,3.3,63.87,47.92,0.0,9.8,162.0,0.0,0.35,15.6,1.2,10.0,0.0,0.106
"Finger snacks, apple and cinnamon",389.0,2.3,0.1,0.527,6.19,85.79,17.84,0.0,3.8,535.0,0.0,10.33,1.3,1.3,13.0,0.0,1.8
"Fireweed, raw",103.0,2.8,0.0,0.0,4.71,19.22,0.0,0.0,10.6,429.0,0.0,0.0,0.0,2.2,3598.0,0.0,0.632
"Fireweed, raw (Alaska Native)",44.0,0.8,0.0,0.0,3.0,6.3,0.0,0.0,6.0,13.0,0.0,0.0,0.0,99.0,5720.0,0.0,0.0
Fish broth,16.0,0.6,0.1,0.245,2.0,0.4,0.09,0.0,0.0,30.0,0.0,0.15,0.2,0.0,4.0,0.1,0.01
"Fish oil, cod liver",902.0,100.0,23.0,22.541,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,100000.0,0.0,0.0
"Fish oil, fully hydrogenated",902.0,100.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fish oil, herring",902.0,100.0,21.0,15.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fish oil, menhaden",902.0,100.0,30.0,34.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fish oil, salmon",902.0,100.0,20.0,40.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fish oil, sardine",902.0,100.0,30.0,31.867,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fish, (Alaska Native)",209.0,13.0,2.4,2.09,23.19,0.0,0.0,0.0,0.0,55.0,46.0,0.42,0.0,0.0,41.0,3.65,0.378
"Fish, New York State",110.0,2.7,0.6,0.772,21.23,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.77,0.273
"Fish, Pacific (Alaska Native)",63.0,0.8,0.0,0.0,11.3,2.6,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0
"Fish, batter-dipped and fried",228.0,14.0,3.2,3.701,18.62,6.39,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,180.0,1.21,0.3
"Fish, bones removed (Alaska Native)",161.0,5.8,0.9,1.61,27.31,0.0,0.0,0.0,0.0,28.0,0.0,0.61,0.0,0.0,216.0,4.91,0.103
"Fish, breaded and fried",225.0,13.0,3.4,3.121,18.145,7.789999999999999,0.0,0.0,0.55,38.0,0.0,0.0,0.0,0.0,51.5,2.0,0.225
"Fish, brined (Alaska Native)",430.0,30.0,7.0,0.35,39.9,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0
"Fish, canned (Alaska Native)",266.0,16.0,0.0,0.0,30.7,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
"Fish, cheeks and soft bones (Alaska Native)",107.0,3.6,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fish, cooked (not previously frozen)",82.0,0.3,0.05,0.10250000000000001,19.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fish, drained solids",158.08333333333334,5.733333333333333,1.2,1.8714166666666667,25.19,0.0,0.0,0.0,0.0,89.83333333333333,181.5,1.005,5.5,0.075,93.75,2.9125,0.235
"Fish, drained solids with bone",165.6,7.859999999999999,1.7600000000000002,2.5140000000000002,21.762,0.10800000000000001,0.086,0.0,0.02,271.8,154.4,1.004,0.62,0.2,111.2,5.4079999999999995,0.27
"Fish, dried (Alaska Native)",374.5,13.5,2.65,2.2415000000000003,62.265,0.0,0.0,0.0,0.0,482.5,0.0,0.74,0.65,0.0,92.0,23.5,0.523
"Fish, dried and salted",290.0,2.4,0.5,0.804,62.82,0.0,0.0,0.0,0.0,160.0,161.0,2.84,0.4,3.5,140.0,10.0,0.864
"Fish, dry (Alaska Native)",312.0,6.6,0.0,0.0,60.4,2.8,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fish, dry heat",150.3835616438356,5.541095890410959,1.0890410958904109,1.1163698630136987,23.567397260273975,0.026301369863013697,0.0,0.0,0.0,36.23287671232877,79.10958904109589,0.2808219178082192,0.08767123287671233,0.8643835616438356,225.05479452054794,3.4465753424657533,0.375
"Fish, dry heat (may have been previously frozen)",98.0,0.85,0.15000000000000002,0.392,21.105,0.0,0.0,0.0,0.0,41.0,37.5,0.47500000000000003,0.05,0.0,29.0,2.9850000000000003,0.2325
"Fish, eggs (Alaska Native)",104.0,2.9,0.5,1.073,14.66,4.89,0.0,0.0,0.0,46.0,0.0,2.68,0.6,12.0,305.0,56.4,0.159
"Fish, fermented (Alaska Native)",159.0,11.0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0
"Fish, granular",264.0,18.0,4.1,7.405,24.6,4.0,0.0,0.0,0.0,275.0,117.0,1.89,0.6,0.0,905.0,20.0,0.32
"Fish, kippered",217.0,12.0,2.8,2.919,24.58,0.0,0.0,0.0,0.0,84.0,86.0,1.54,0.1,1.0,135.0,18.7,0.413
"Fish, kippered (Alaska Native)",141.0,4.8,0.8,1.13,24.5,0.0,0.0,0.0,0.0,54.0,80.0,0.44,0.0,0.0,50.0,4.98,0.287
"Fish, liver (Alaska Native)",210.0,15.6,0.0,0.0,12.450000000000001,4.925,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,3652.5,0.0,0.0
"Fish, meat (Alaska Native)",97.0,5.3,0.0,0.0,11.7,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,1020.0,0.0,0.0
"Fish, moist heat",184.0,7.5,1.6,2.521,27.36,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0,108.0,4.48,0.556
"Fish, packed in oil (Alaska Native)",489.0,35.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0
"Fish, pickled",262.0,18.0,2.4,1.679,14.19,9.64,7.71,0.0,0.0,77.0,113.0,1.71,0.2,0.0,860.0,4.27,0.17
"Fish, plain (Alaska Native)",74.0,1.9,0.4,0.71,9.6,4.47,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.6,57.0,0.0,0.0
"Fish, prepared",277.0,16.0,3.7,7.824,11.01,21.66,1.65,0.12,1.5,16.0,1.0,6.88,4.7,0.0,18.0,0.96,0.078
"Fish, raw",119.46753246753246,4.398701298701298,1.0324675324675325,1.0473766233766233,18.742857142857144,0.01948051948051948,0.0,0.0,0.0,30.01298701298701,159.23376623376623,0.594935064935065,0.17532467532467533,0.8051948051948052,194.98701298701297,2.8835064935064936,0.33006493506493506
"Fish, raw (Alaska Native)",131.57142857142858,5.471428571428571,0.8857142857142856,1.2384285714285714,20.641428571428573,0.0,0.0,0.0,0.0,28.714285714285715,0.0,0.64,0.15714285714285717,0.0,231.57142857142858,5.385714285714286,0.16128571428571428
"Fish, raw (may have been previously frozen)",62.5,0.4,0.1,0.1795,13.73,0.0,0.0,0.0,0.0,11.5,14.0,0.515,0.0,0.0,8.0,1.805,0.093
"Fish, raw (not previously frozen)",71.0,0.2,0.0,0.0765,17.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fish, regular",117.0,4.3,0.9,0.995,18.28,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,88.0,3.26,0.278
"Fish, salted",305.0,25.0,7.1,6.21,18.5,0.0,0.0,0.0,0.0,66.0,1006.0,2.38,7.8,0.0,157.0,12.0,0.41
"Fish, smoked",158.0,7.1000000000000005,1.3666666666666665,1.1678333333333335,22.02,0.0,0.0,0.0,0.0,28.5,400.5,0.4716666666666667,0.08333333333333333,0.0,440.1666666666667,2.8799999999999994,0.3325
"Fish, smoked (Alaska Native)",206.0,7.3,1.5,2.21,35.19,0.0,0.0,0.0,0.0,69.0,0.0,0.45,0.0,0.0,63.0,7.43,0.182
"Fish, smoked and canned (Alaska Native)",150.0,5.9,0.0,0.0,23.2,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0
"Fish, solids and liquid",105.0,0.9,0.2,0.291,22.76,0.0,0.0,0.0,0.0,21.0,47.0,0.82,0.1,1.0,47.0,1.05,0.282
"Fish, solids with bone and liquid",139.0,6.1,1.5,2.049,19.78,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,55.0,4.4,0.3
"Fish, surimi",99.0,0.9,0.2,0.443,15.18,6.85,0.0,0.0,0.0,9.0,0.0,0.63,0.1,0.0,67.0,1.6,0.03
"Fish, sweet recipe",84.0,1.7,0.4,0.285,9.07,7.41,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.8,89.0,0.84,0.08
"Fish, total can contents",129.0,5.0,0.9,1.42,19.68,0.0,0.0,0.0,0.0,215.0,547.0,0.64,0.5,0.0,57.0,4.4,0.3
"Fish, tuna salad",187.0,9.3,1.5,4.122,16.04,9.41,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.2,97.0,1.2,0.081
"Fish, whole (Alaska Native)",82.0,1.8,0.0,0.0,15.5,0.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,1202.0,0.0,0.0
"Fish, with skin (Alaska Native)",114.5,2.8,0.6,0.8215,21.33,0.905,0.0,0.0,0.0,26.5,0.0,1.475,0.0,0.0,158.5,2.165,0.328
"Fish, without skin and bones",136.0,4.2,0.7,1.298,24.62,0.0,0.0,0.0,0.0,60.0,563.0,1.28,0.1,0.0,66.0,4.96,0.105
"Flan, dry mix",348.0,0.0,0.0,0.0,0.0,91.6,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Flan, prepared with 2% milk",103.0,1.7,1.0,0.064,2.99,18.82,0.0,0.0,0.0,113.0,36.0,0.0,0.0,0.7,180.0,0.26,0.035
"Flan, prepared with whole milk",113.0,3.0,1.8,0.111,2.95,18.68,0.0,0.0,0.0,111.0,36.0,0.0,0.0,0.7,113.0,0.26,0.034
"Fluid replacement, electrolyte solution (include PEDIALYTE)",10.0,0.0,0.0,0.0,0.0,2.45,2.45,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Focaccia, plain",249.0,7.9,0.9,0.994,8.77,35.82,1.75,0.0,1.8,35.0,0.0,1.42,5.7,0.0,2.0,0.0,0.113
"Formulated Bar, SOUTH BEACH protein bar",412.0,15.0,3.4,5.326,30.34,38.4,15.17,0.0,7.3,322.0,0.0,4.61,350.6,27.9,6720.0,0.61,0.226
"Formulated bar, Caramel Nut Rush",415.0,13.0,6.3,2.892,25.0,50.5,28.75,0.0,12.5,625.0,150.0,16.88,10.4,75.0,2188.0,7.5,2.5
"Formulated bar, Chocolate Almond Snack Bar",347.0,14.0,4.3,0.0,7.72,51.68,27.03,0.0,5.2,1209.0,0.0,0.0,0.0,42.5,32.0,2.73,0.909
"Formulated bar, Chocolate Blueberry Snack Bar",325.0,9.3,3.9,0.0,6.21,57.87,33.4,0.0,4.6,1207.0,0.0,0.0,0.0,42.4,32.0,4.09,1.364
"Formulated bar, NUTZ OVER CHOCOLATE",403.0,12.0,5.5,2.714,20.75,52.49,16.9,0.0,4.3,886.0,125.0,8.4,40.8,68.0,1251.0,6.4,2.4
"Formulated bar, SNICKERS MARATHON Chewy Chocolate Peanut Bar",396.0,13.0,4.7,0.0,24.29,47.24,32.86,0.0,2.5,965.0,0.0,24.55,0.0,144.4,3637.0,10.91,3.636
"Formulated bar, SNICKERS MARATHON Double Chocolate Nut Bar",343.0,9.0,4.8,0.0,22.35,52.47,22.67,0.0,10.5,1495.0,0.0,30.5,0.0,176.2,4445.0,13.57,4.525
"Formulated bar, SNICKERS MARATHON Honey Nut Oat Bar",378.0,7.9,4.5,0.0,22.5,54.3,26.26,0.0,11.0,0.0,181.0,30.5,0.0,176.4,4451.0,13.57,4.525
"Formulated bar, SNICKERS MARATHON MULTIGRAIN CRUNCH BAR",422.0,13.0,4.8,0.0,18.49,57.27,33.04,0.0,2.8,953.0,0.0,24.57,0.0,144.3,3182.0,10.91,3.636
"Formulated bar, all flavors",386.0,11.0,4.8,1.917,21.91,50.3,28.71,0.0,6.7,754.0,181.0,27.53,1.8,489.9,209.0,12.24,4.525
"Formulated bar, chocolate",363.0,3.1,1.3,0.589,14.15,69.63,30.07,0.0,5.7,504.0,0.0,8.28,1.1,92.3,0.0,5.6,2.2
"Formulated bar, milk chocolate peanut",386.0,8.9,5.4,1.132,16.19,60.21,25.0,0.0,5.1,668.0,214.0,6.0,129.3,96.6,3133.0,7.9,2.1
"Formulated bar, mixed flavors",422.0,14.0,4.5,4.804,30.0,45.0,27.0,0.0,2.0,200.0,0.0,24.0,1.6,120.0,3500.0,4.2,2.0
"Formulated bar, oats and chocolate",350.0,10.0,3.4,2.334,5.0,69.78,25.0,0.0,22.5,250.0,0.0,1.47,2.6,1.2,0.0,0.0,0.963
"Frankfurter, boiled",298.0,26.0,8.2,5.713,10.31,4.96,2.7,0.0,0.0,107.0,26.0,0.45,1.7,19.4,103.0,0.69,0.067
"Frankfurter, chicken",223.0,16.0,3.9,3.873,15.51,2.74,2.98,0.0,0.0,74.0,21.0,0.22,0.0,0.0,0.0,0.54,0.323
"Frankfurter, fat free",109.0,1.6,0.5,0.35,12.5,11.21,0.0,0.0,0.0,54.0,2.0,0.0,1.8,24.0,0.0,1.06,0.181
"Frankfurter, grilled",302.0,26.0,8.2,5.882,10.67,5.24,2.85,0.0,0.0,118.0,27.0,0.45,0.2,19.2,107.0,0.67,0.057
"Frankfurter, heated",300.0,26.5,9.6,2.3855,10.73,3.7800000000000002,0.635,0.0,0.0,55.0,19.0,0.19,0.9,0.0,0.0,1.505,0.179
"Frankfurter, low fat",177.0,6.15,1.25,0.2965,13.75,5.0,0.425,0.0,0.05,10.0,14.0,0.19,1.05,0.7,1.5,0.97,0.185
"Frankfurter, low sodium",312.0,29.0,12.0,1.379,12.0,1.8,0.0,0.0,0.0,20.0,37.0,0.17,0.3,0.0,0.0,1.54,0.12
"Frankfurter, meat",290.0,26.0,7.7,4.404,10.26,4.17,0.0,0.0,0.0,99.0,0.0,0.19,0.0,0.0,0.0,1.57,0.166
"Frankfurter, meatless",233.0,14.0,1.7,5.415,19.61,7.7,0.0,0.0,3.9,33.0,0.0,1.92,0.0,0.0,0.0,2.35,0.078
"Frankfurter, pork",269.0,24.0,8.7,2.233,12.81,0.28,0.0,0.0,0.1,267.0,0.0,0.0,0.0,2.0,263.0,0.49,0.322
"Frankfurter, turkey",223.0,17.0,4.0,3.949,12.23,3.81,1.21,0.0,0.0,148.0,23.0,0.62,0.0,0.0,0.0,0.82,0.143
"Frankfurter, unheated",296.5,26.0,9.3,3.0755,10.440000000000001,4.1899999999999995,2.0300000000000002,0.0,0.0,59.0,31.5,0.32,0.9500000000000001,11.25,51.0,1.045,0.124
"French toast, made with low fat (2%) milk",229.0,11.0,2.7,2.594,7.7,25.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.3,503.0,0.31,0.074
"French toast, ready-to-heat",213.0,6.1,1.5,1.227,7.4,32.1,0.0,0.0,1.1,107.0,0.0,0.0,0.0,0.3,187.0,1.68,0.496
"Frijoles rojos volteados (Refried beans, red",144.0,6.9,0.9,4.379,5.0,15.47,0.0,0.0,4.7,33.0,0.0,1.04,0.0,0.0,0.0,0.0,0.085
"Frog legs, raw",73.0,0.3,0.1,0.102,16.4,0.0,0.0,0.0,0.0,18.0,8.0,1.0,0.1,0.0,50.0,0.4,0.12
"Frostings, NFSMI Recipe No. C-32",359.0,7.2,4.5,0.294,1.42,72.18,64.3,0.0,1.1,32.0,0.0,0.19,0.7,0.1,249.0,0.09,0.011
"Frostings, dry mix",390.0,3.366666666666667,0.0,0.0,1.3,93.56666666666666,0.0,0.0,0.8333333333333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.027333333333333334
"Frostings, prepared with butter",408.0,13.0,8.4,0.496,1.11,71.8,0.01,0.0,1.9,12.0,7.0,0.26,0.8,0.0,278.0,0.02,0.063
"Frostings, prepared with margarine",408.5,13.0,1.7,2.797,0.7200000000000001,72.65,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,393.0,0.01,0.0325
"Frostings, prepared with water",244.0,0.0,0.0,0.0,1.5,62.6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.001
"Frostings, prepared-from-recipe",341.0,0.5,0.3,0.067,0.44,83.65,80.44,0.0,0.0,17.0,0.0,0.0,0.0,0.0,14.0,0.05,0.006
"Frostings, ready-to-eat",415.75,18.75,5.4,4.898499999999999,0.675,62.7775,56.085,0.0,0.85,6.75,0.0,1.045,4.225,0.05,1.25,0.0,0.013
"Frozen novelties, CREAMSICLE Pops",49.0,2.3,2.0,0.0,1.37,11.95,0.43,0.0,7.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Frozen novelties, FUDGSICLE pops",124.0,1.9,1.0,0.149,3.67,23.11,5.1,5.1,1.5,231.0,0.0,0.3,0.1,0.0,0.0,0.07,0.058
"Frozen novelties, No Sugar Added CREAMSICLE Pops",72.0,0.6,0.5,0.0,3.69,12.88,2.75,0.0,3.6,137.0,0.0,0.0,0.0,0.4,23.0,0.0,0.0
"Frozen novelties, POPSICLE SCRIBBLERS",81.0,0.2,0.0,0.0,0.0,19.68,14.57,0.0,0.0,5.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
"Frozen novelties, SLIM-A-BEAR Chocolate Cone",224.0,4.1,1.0,0.0,4.09,45.32,24.62,0.0,4.3,125.0,0.0,0.0,0.0,0.6,259.0,0.0,0.0
"Frozen novelties, SLIM-A-BEAR Vanilla Sandwich",239.0,5.9,3.3,0.0,3.9,42.75,21.82,0.0,4.3,142.0,0.0,0.0,0.0,0.7,288.0,0.0,0.0
"Frozen novelties, Stickless Bar",242.0,13.0,10.0,0.0,5.2,25.98,8.64,0.0,3.9,289.0,0.0,0.0,0.0,1.0,289.0,0.0,0.0
"Frozen novelties, and grape POPSICLE pops",21.0,0.0,0.0,0.0,0.0,5.14,1.52,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0
"Frozen novelties, chocolate coated",221.0,10.0,5.5,1.359,6.4,26.11,8.52,0.0,0.8,222.0,7.0,0.42,1.3,0.0,123.0,0.49,0.043
"Frozen novelties, fruit and juice bars",87.0,0.1,0.0,0.03,1.2,20.2,17.48,0.0,1.0,5.0,0.0,0.0,0.9,9.5,18.0,0.0,0.025
"Frozen novelties, juice with cream",115.0,1.4,0.7,0.0,1.41,24.11,20.61,0.0,0.1,141.0,0.0,0.06,0.2,21.2,145.0,0.14,0.029
"Frozen novelties, lime",128.0,0.0,0.0,0.0,0.4,32.6,32.6,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001
"Frozen novelties, no sugar added",74.0,1.0,0.5,0.0,2.405,18.135,3.55,0.0,3.0,70.0,0.0,0.0,0.0,0.45,25.0,0.0,0.0
"Frozen novelties, orange",95.0,0.0,0.0,0.0,0.5,23.17,19.99,0.0,0.1,9.0,0.0,0.04,0.1,25.7,21.0,0.0,0.018
"Frozen novelties, pineapple-coconut",113.0,2.6,2.3,0.029,0.0,23.9,0.0,0.0,0.7,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.016
"Frozen novelties, pop",79.0,0.2,0.0,0.016,0.0,19.23,13.66,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
"Frozen novelties, prepackaged",185.0,6.0,3.1,0.663,4.3,29.4,20.74,0.0,0.3,120.0,4.0,0.12,0.3,1.8,458.0,0.39,0.05
"Frozen novelties, restaurant-prepared",53.0,0.0,0.0,0.0,0.03,13.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,167.0,0.0,0.002
"Frozen novelties, with low calorie sweetener",24.0,0.0,0.0,0.0,0.0,5.92,1.52,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0
"Frozen novelties, with nuts",323.0,20.0,13.0,1.469,4.4,30.9,30.0,0.0,0.6,252.0,7.0,0.42,1.3,0.7,220.0,0.38,0.22
"Frozen yogurts, chocolate",127.0,3.6,2.3,0.102,3.0,21.6,19.24,0.0,2.3,100.0,3.0,0.09,0.3,0.0,141.0,0.07,0.04
"Frozen yogurts, flavors other than chocolate",127.0,3.6,2.3,0.1,3.0,21.6,19.92,0.0,0.0,100.0,3.0,0.09,0.3,0.7,176.0,0.07,0.04
"Frozen yogurts, soft-serve",159.5,5.8,3.5,0.215,4.0,24.549999999999997,12.0,0.0,1.1,145.0,2.0,0.055,0.15,0.55,186.0,0.29,0.077
"Frozen yogurts, sweetened without sugar",107.0,0.8,0.5,0.03,4.4,19.7,12.61,0.0,2.0,159.0,0.0,0.08,0.3,0.7,7.0,0.49,0.04
"Fruit butters, apple",173.0,0.3,0.1,0.084,0.39,42.47,35.3,0.0,1.5,14.0,0.0,0.05,0.9,0.6,22.0,0.0,0.037
"Fruit cocktail, drained",70.0,0.1,0.0,0.042,0.47,18.8,17.14,0.0,1.7,7.0,0.0,0.6,3.9,1.9,273.0,0.0,0.051
"Fruit cocktail, solids and liquids",56.833333333333336,0.08333333333333333,0.0,0.024499999999999997,0.41,14.788333333333334,8.368333333333334,0.0,1.0333333333333334,6.5,0.0,0.2833333333333334,1.7333333333333334,2.25,233.66666666666666,0.0,0.050666666666666665
"Fruit juice smoothie, BERRY BOOST",46.0,0.0,0.0,0.011,0.63,10.9,9.3,0.0,0.0,10.0,0.0,5.03,0.0,108.6,290.0,0.9,0.4
"Fruit juice smoothie, BLUE MACHINE",71.0,0.0,0.0,0.0,0.42,16.67,12.08,0.0,2.9,0.0,0.0,5.63,0.0,25.0,0.0,2.5,0.833
"Fruit juice smoothie, GREEN GOODNESS",56.0,0.3,0.1,0.068,0.63,13.04,11.46,0.0,0.6,18.0,0.0,0.18,2.6,6.2,417.0,0.55,0.08
"Fruit juice smoothie, GREEN MACHINE",53.0,0.3,0.1,0.073,0.6,12.53,11.15,0.0,0.7,11.0,0.0,0.3,21.2,8.2,428.0,0.63,0.075
"Fruit juice smoothie, MIGHTY MANGO",63.0,0.0,0.0,0.0,0.42,15.0,12.5,0.0,0.0,8.0,0.0,0.0,0.0,2.5,2083.0,0.0,0.0
"Fruit juice smoothie, ORIGINAL SUPERFOOD",50.0,0.4,0.1,0.112,0.63,11.51,10.16,0.0,0.6,7.0,0.0,0.42,1.8,31.3,1408.0,0.0,0.026
"Fruit juice smoothie, strawberry banana",50.0,0.3,0.10000000000000002,0.06833333333333334,0.47333333333333333,11.693333333333333,10.093333333333334,0.0,0.6,10.333333333333334,0.0,3.073333333333333,1.1333333333333335,31.366666666666664,91.0,0.0,0.085
"Fruit salad, solids and liquids",64.16666666666667,0.08333333333333333,0.0,0.026166666666666668,0.38000000000000006,16.716666666666665,3.018333333333333,0.0,1.05,8.333333333333334,0.0,0.06666666666666667,0.43333333333333335,4.95,456.1666666666667,0.0,0.04583333333333334
