name,calories,total_fat,saturated_fat,polyunsaturated_fatty_acids,protein,carbohydrate,sugars,lactose,fiber,calcium,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_a,vitamin_b12,vitamin_b6
"Alcoholic Beverage, Syrah",83.0,0.0,0.0,0.0,0.07,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Zinfandel",88.0,0.0,0.0,0.0,0.07,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, 34 proof",327.0,16.0,9.7,0.669,2.8,20.9,19.76,0.0,0.0,16.0,0.0,0.45,1.3,0.2,620.0,0.08,0.011
"Alcoholic beverage, 53 proof",336.0,0.3,0.1,0.105,0.1,46.8,38.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, 63 proof",308.0,0.3,0.1,0.105,0.1,32.2,32.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, 72 proof",371.0,0.3,0.0,0.167,0.0,41.6,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, 80 proof",231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, 86 proof",250.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, 90 proof",263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, BUD LIGHT",29.0,0.0,0.0,0.0,0.25,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, BUDWEISER",41.0,0.0,0.0,0.0,0.36,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, BUDWEISER SELECT",28.0,0.0,0.0,0.0,0.2,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, Chardonnay",84.0,0.0,0.0,0.0,0.07,2.16,0.96,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
"Alcoholic beverage, Chenin Blanc",80.0,0.0,0.0,0.0,0.07,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, Fume Blanc",82.0,0.0,0.0,0.0,0.07,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, Gewurztraminer",94.5,0.0,0.0,0.0,0.07,6.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, Muller Thurgau",76.0,0.0,0.0,0.0,0.07,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, Muscat",82.0,0.0,0.0,0.0,0.07,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, Pinot Blanc",81.0,0.0,0.0,0.0,0.07,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, Pinot Gris (Grigio)",83.0,0.0,0.0,0.0,0.07,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, Riesling",80.0,0.0,0.0,0.0,0.07,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, Sauvignon Blanc",81.0,0.0,0.0,0.0,0.07,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, Semillon",82.0,0.0,0.0,0.0,0.07,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, all",63.0,0.0,0.0,0.0,0.265,3.135,0.395,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05
"Alcoholic beverage, all (gin",262.8,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
"Alcoholic beverage, canned",147.75,1.9249999999999998,1.65,0.03425,0.22499999999999998,17.0,0.0,0.0,0.05,0.25,0.0,0.0,0.0,5.925000000000001,34.0,0.0,0.0175
"Alcoholic beverage, cooking",50.0,0.0,0.0,0.0,0.5,6.3,1.55,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
"Alcoholic beverage, dry",152.0,0.0,0.0,0.0,0.2,11.67,1.09,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, hard lemonade",68.0,0.0,0.0,0.0,0.0,10.07,9.77,0.0,0.0,4.0,0.0,0.02,0.0,2.8,0.0,0.01,0.022
"Alcoholic beverage, higher alcohol",46.0,0.0,0.0,0.0,0.25,0.77,0.09,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.034
"Alcoholic beverage, late harvest",112.0,0.0,0.0,0.0,0.07,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, light",39.0,0.0,0.0,0.0,0.155,1.4049999999999998,0.62,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.01,0.027000000000000003
"Alcoholic beverage, low carb",27.0,0.0,0.0,0.0,0.17,0.73,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, prepared from item 14028",153.0,0.1,0.0,0.011,0.06,12.82,12.78,0.0,0.0,1.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0
"Alcoholic beverage, prepared-from-recipe",180.0,1.0,0.8,0.0245,0.24,14.8,13.954999999999998,0.0,0.2,5.5,0.0,0.025,0.1,3.25,3.0,0.0,0.0265
"Alcoholic beverage, red",85.0,0.0,0.0,0.0,0.07,2.61,0.62,0.0,0.0,8.0,0.0,0.0,0.4,0.0,2.0,0.0,0.057
"Alcoholic beverage, rice (sake)",134.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, sweet",160.0,0.0,0.0,0.0,0.2,13.69,7.78,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic beverage, whiskey and powder mix",164.0,0.0,0.0,0.006,0.1,15.85,15.81,0.0,0.0,46.0,0.0,0.0,0.0,0.4,5.0,0.0,0.0
"Alcoholic beverage, whiskey sour",149.0,0.0,0.0,0.012,0.0,13.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6,13.0,0.0,0.0
"Alcoholic beverage, white",82.0,0.0,0.0,0.0,0.07,2.6,0.96,0.0,0.0,9.0,0.0,0.0,0.4,0.0,0.0,0.0,0.05
"Alcoholic beverages, higher alcohol",58.0,0.0,0.0,0.0,0.9,0.27,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09
"Alcoholic beverages, rose",83.0,0.0,0.0,0.0,0.36,3.8,3.8,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.037
"Alfalfa seeds, raw",23.0,0.7,0.1,0.409,3.99,2.1,0.2,0.0,1.9,32.0,0.0,0.02,30.5,8.2,155.0,0.0,0.034
"Amaranth grain, cooked",102.0,1.6,0.0,0.0,3.8,18.69,0.0,0.0,2.1,47.0,0.0,0.19,0.0,0.0,0.0,0.0,0.113
"Amaranth grain, uncooked",371.0,7.0,1.5,2.778,13.56,65.25,1.69,0.0,6.7,159.0,0.0,1.19,0.0,4.2,2.0,0.0,0.591
"Amaranth leaves, raw",23.0,0.3,0.1,0.147,2.46,4.02,0.0,0.0,0.0,215.0,0.0,0.0,1140.0,43.3,2917.0,0.0,0.192
"Amaranth leaves, with salt",21.0,0.2,0.1,0.08,2.11,4.11,0.0,0.0,0.0,209.0,0.0,0.0,0.0,41.1,2770.0,0.0,0.177
"Amaranth leaves, without salt",21.0,0.2,0.1,0.08,2.11,4.11,0.0,0.0,0.0,209.0,0.0,0.0,0.0,41.1,2770.0,0.0,0.177
"Animal fat, bacon grease",897.0,100.0,39.0,11.144,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.6,0.0,0.0,0.0,0.0,0.0
"Apple juice, and potassium",48.0,0.2,0.0,0.051,0.12,11.49,9.47,0.0,0.3,70.0,0.0,0.01,0.0,30.3,1.0,0.0,0.018
"Apple juice, diluted with 3 volume water without added ascorbic acid",47.0,0.1,0.0,0.031,0.14,11.54,10.93,0.0,0.1,6.0,0.0,0.01,0.0,0.6,0.0,0.0,0.033
"Apple juice, with added ascorbic acid",86.33333333333333,0.19999999999999998,0.03333333333333333,0.05933333333333333,0.25,21.279999999999998,16.15,0.0,0.10000000000000002,11.333333333333334,0.0,0.0033333333333333335,0.0,50.800000000000004,0.3333333333333333,0.0,0.05566666666666667
"Apple juice, without added ascorbic acid",106.0,0.25,0.05,0.0735,0.305,26.15,24.224999999999998,0.0,0.30000000000000004,14.0,0.0,0.025,0.0,1.5,0.5,0.0,0.067
"Apples, boiled",53.0,0.4,0.1,0.104,0.26,13.64,11.01,0.0,2.4,5.0,0.0,0.05,0.6,0.2,44.0,0.0,0.044
"Apples, heated",57.0,0.35,0.1,0.1105,0.235,14.42,7.42,0.0,1.65,4.5,0.0,0.105,0.3,0.30000000000000004,38.0,0.0,0.038
"Apples, microwave",56.0,0.4,0.1,0.122,0.28,14.41,11.61,0.0,2.8,5.0,0.0,0.05,0.7,0.3,40.0,0.0,0.046
"Apples, stewed",74.0,0.1,0.0,0.036,0.28,19.91,0.0,0.0,2.6,4.0,0.0,0.0,0.0,0.6,19.0,0.0,0.054
"Apples, uncooked",294.5,0.44999999999999996,0.1,0.132,1.125,79.71000000000001,69.16,0.0,10.55,16.5,0.0,0.64,3.65,3.05,40.5,0.0,0.2025
"Apples, unheated",57.5,0.4,0.1,0.1195,0.23,14.504999999999999,12.55,0.0,1.5,4.0,0.0,0.105,0.3,0.25,42.5,0.0,0.039
"Apples, with added sugar",83.0,0.1,0.0,0.02,0.2,20.73,0.0,0.0,1.9,3.0,0.0,0.0,0.0,0.9,16.0,0.0,0.047
"Apples, with skin",57.666666666666664,0.18333333333333335,0.0,0.008499999999999999,0.2833333333333334,13.996666666666668,10.424999999999999,0.0,2.3833333333333333,6.166666666666667,0.0,0.18999999999999997,2.0166666666666666,0.7666666666666666,54.333333333333336,0.0,0.042833333333333334
"Apples, without added sugar",57.0,0.1,0.0,0.022,0.22,15.32,13.32,0.0,2.0,3.0,0.0,0.12,0.7,1.0,17.0,0.0,0.05
"Apples, without skin",48.0,0.1,0.0,0.037,0.27,12.76,10.1,0.0,1.3,5.0,0.0,0.05,0.6,4.0,38.0,0.0,0.037
"Applesauce, with added ascorbic acid",42.0,0.1,0.0,0.014,0.17,11.27,9.39,0.0,1.1,4.0,0.0,0.16,0.5,21.2,29.0,0.0,0.027
"Applesauce, with salt",76.0,0.2,0.0,0.054,0.18,19.91,0.0,0.0,1.2,4.0,0.0,0.0,0.0,1.7,11.0,0.0,0.026
"Applesauce, without added ascorbic acid (includes USDA commodity)",42.0,0.1,0.0,0.014,0.17,11.27,9.39,0.0,1.1,4.0,0.0,0.16,0.5,1.0,29.0,0.0,0.027
"Applesauce, without salt (includes USDA commodity)",68.0,0.2,0.0,0.054,0.16,17.49,14.67,0.0,1.2,3.0,0.0,0.18,0.6,1.7,6.0,0.0,0.027
"Apricot nectar, with added ascorbic acid",56.0,0.1,0.0,0.017,0.37,14.39,13.24,0.0,0.6,7.0,0.0,0.0,0.0,17.6,1316.0,0.0,0.022
"Apricot nectar, without added ascorbic acid",56.0,0.1,0.0,0.017,0.37,14.39,13.79,0.0,0.6,7.0,0.0,0.31,1.2,0.6,1316.0,0.0,0.022
"Apricots, drained",83.0,0.1,0.0,0.021,0.64,21.31,18.65,0.0,2.7,10.0,0.0,0.89,3.3,3.1,2924.0,0.0,0.055
"Apricots, raw",48.0,0.4,0.0,0.077,1.4,11.12,9.24,0.0,2.0,13.0,0.0,0.89,3.3,10.0,1926.0,0.0,0.054
"Apricots, solids and liquids",58.875,0.07500000000000001,0.0,0.014249999999999999,0.59375,15.12125,6.286250000000001,0.0,1.5375,9.375,0.0,0.3,1.1,3.1375,1499.25,0.0,0.054
"Apricots, stewed",126.0,0.2,0.0,0.047,1.93,32.62,0.0,0.0,0.0,24.0,0.0,0.0,0.0,7.1,4407.0,0.0,0.161
"Apricots, sweetened",98.0,0.1,0.0,0.02,0.7,25.1,0.0,0.0,2.2,10.0,0.0,0.0,0.0,9.0,1680.0,0.0,0.06
"Apricots, uncooked",280.5,0.55,0.0,0.0975,4.1450000000000005,72.765,26.72,0.0,3.65,58.0,0.0,2.165,1.55,5.25,8136.5,0.0,0.3315
"Apricots, with added sugar",113.0,0.2,0.0,0.029,1.17,29.26,0.0,0.0,4.1,15.0,0.0,0.0,0.0,1.4,2139.0,0.0,0.103
"Apricots, without added sugar",85.0,0.2,0.0,0.026,1.2,22.15,19.57,0.0,2.6,19.0,0.0,1.53,1.1,0.3,1275.0,0.0,0.051
"Arrowhead, raw",99.0,0.3,0.0,0.0,5.33,20.23,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.1,0.0,0.0,0.26
"Arrowhead, with salt",78.0,0.1,0.0,0.0,4.49,16.14,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.3,0.0,0.0,0.206
"Arrowhead, without salt",78.0,0.1,0.0,0.0,4.49,16.14,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.3,0.0,0.0,0.206
Arrowroot flour,357.0,0.1,0.0,0.045,0.3,88.15,0.0,0.0,3.4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
"Arrowroot, raw",65.0,0.2,0.0,0.092,4.24,13.39,0.0,0.0,1.3,6.0,0.0,0.0,0.0,1.9,19.0,0.0,0.266
"Artichokes, raw",47.0,0.2,0.0,0.064,3.27,10.51,0.99,0.0,5.4,44.0,0.0,0.19,14.8,11.7,13.0,0.0,0.116
"Artichokes, unprepared",38.0,0.4,0.1,0.179,2.63,7.75,0.0,0.0,3.9,19.0,0.0,0.0,0.0,5.3,154.0,0.0,0.082
"Artichokes, with salt",48.0,0.4,0.1,0.1805,3.0,10.285,0.915,0.0,5.15,21.0,0.0,0.175,13.7,6.2,12.0,0.0,0.08399999999999999
"Artichokes, without salt",49.0,0.4,0.1,0.1805,3.0,10.565,0.915,0.0,5.15,21.0,0.0,0.175,13.7,6.2,12.0,0.0,0.08399999999999999
"Artificial Blueberry Muffin Mix, dry",407.0,8.7,1.9,1.679,4.7,77.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arugula, raw",25.0,0.7,0.1,0.319,2.58,3.65,2.05,0.0,1.6,160.0,0.0,0.43,108.6,15.0,2373.0,0.0,0.073
Ascidians (tunughnak) (Alaska Native),20.0,0.5,0.1,0.2,3.8,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Asparagus, drained",22.0,0.2,0.0,0.105,2.4,4.11,1.3,0.0,2.0,23.0,0.0,1.5,50.6,7.7,1006.0,0.0,0.079
"Asparagus, drained solids",19.0,0.7,0.1,0.284,2.14,2.46,1.06,0.0,1.6,16.0,0.0,1.22,41.3,18.4,822.0,0.0,0.11
"Asparagus, raw",20.0,0.1,0.0,0.05,2.2,3.88,1.88,0.0,2.1,24.0,0.0,1.13,41.6,5.6,756.0,0.0,0.091
"Asparagus, solids and liquids",15.0,0.2,0.0,0.082,1.8,2.48,0.5,0.0,1.0,15.0,0.0,0.725,19.5,16.5,651.0,0.0,0.098
"Asparagus, unprepared",24.0,0.2,0.1,0.101,3.23,4.1,0.0,0.0,1.9,25.0,0.0,0.0,0.0,31.8,948.0,0.0,0.111
"Asparagus, with salt",20.0,0.30000000000000004,0.05,0.145,2.675,3.015,0.81,0.0,1.8,20.5,0.0,1.35,65.3,16.05,906.0,0.0,0.0495
"Asparagus, without salt",18.0,0.4,0.1,0.185,2.95,1.92,0.32,0.0,1.6,18.0,0.0,1.2,80.0,24.4,806.0,0.0,0.02
"Avocados, California",167.0,15.0,2.1,1.816,1.96,8.64,0.3,0.0,6.8,13.0,0.0,1.97,21.0,8.8,147.0,0.0,0.287
"Avocados, Florida",120.0,10.0,2.0,1.676,2.23,7.82,2.42,0.0,5.6,10.0,0.0,2.66,0.0,17.4,140.0,0.0,0.078
"Avocados, all commercial varieties",160.0,15.0,2.1,1.816,2.0,8.53,0.66,0.0,6.7,12.0,0.0,2.07,21.0,10.0,146.0,0.0,0.257
"BANQUET, unprepared",155.0,11.0,4.3,1.656,6.89,6.96,0.28,0.0,1.0,51.0,0.0,0.29,0.0,0.0,0.0,0.38,0.14
"BARBARA DEE, Winter Mints Cookies",515.0,26.0,18.0,3.8,3.9,67.1,35.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
